LOINC_NUM
97543-3
1962-0
86920-6
1959-6
16461-6
14151-5
28640-1
19229-4
14627-4
1963-8
1961-2
1960-4
97544-1
69964-5
39460-1
39459-3
19233-6
54359-5
48631-6
19230-2
19231-0
19232-8
94001-5
94010-6
